Ensembl_GeneID	GeneSymbol	DCMvsControl_male_logFC	DCMvsControl_male_P.Value	DCMvsControl_male_adj.P.Val	DCMvsControl_female_logFC	DCMvsControl_female_P.Value	DCMvsControl_female_adj.P.Val
ENSG00000112562	SMOC2	1.85378691073617	6.51978378487817e-69	1.35487626833553e-64	1.79444419505035	3.80840935034345e-60	7.91425547094872e-56
ENSG00000164694	FNDC1	3.11464480892876	2.68069409982775e-67	2.78537520442603e-63	2.89984148285492	1.39990686355202e-55	1.45457322657373e-51
ENSG00000115602	IL1RL1	-4.07051301347601	2.30011469475757e-55	5.97483543396963e-52	-4.21790347511789	8.22467781252988e-53	5.69723432073945e-49
ENSG00000233485	FHAD1-AS1	3.76479672120957	9.51344585527891e-62	4.94247295796377e-58	3.44520138248554	1.72952033064212e-49	8.9852904977685e-46
ENSG00000265542		-2.2463202473236	2.35094553399131e-40	1.13616277074124e-37	-2.6946462653962	9.72199075114127e-48	4.04065379598933e-44
ENSG00000075413	MARK3	-0.850455886543182	4.29649889594772e-46	4.25169255031855e-43	-0.921279491909461	7.6154038075891e-47	2.63759510875849e-43
ENSG00000162998	FRZB	2.24080831348844	7.51632045617988e-59	2.23138079142677e-55	2.00564286066504	1.6233696945485e-45	4.81932080320177e-42
ENSG00000177575	CD163	-2.47739019941206	1.75500539366623e-51	2.80544362198292e-48	-2.4289406212371	3.01998946824348e-45	7.84480014244597e-42
ENSG00000106483	SFRP4	3.70901689415254	6.93465529402931e-60	2.40181786108705e-56	3.14843575523208	7.18003712854255e-43	1.65787057298048e-39
ENSG00000184005	ST6GALNAC3	-1.38458765275447	6.11265763497144e-45	4.70470882638302e-42	-1.43235161341471	1.17860014513931e-42	2.449248961614e-39
ENSG00000120910	PPP3CC	-0.633306220203401	1.18958359152116e-43	7.72523019231289e-41	-0.654053992655516	2.58886065493687e-41	4.89082847911302e-38
ENSG00000131386	GALNT15	-1.95488766184173	2.05438900305536e-34	5.02261857323451e-32	-2.3470130530035	5.61246530026056e-41	9.71938678372622e-38
ENSG00000164946	FREM1	1.99688207764001	1.32918345283341e-60	5.52435226666621e-57	1.59826286018241	9.41281307439641e-40	1.50467437306947e-36
ENSG00000205795	CYS1	1.62045328507046	1.0879399607501e-38	4.43303535771525e-36	1.7522565503397	3.08532117441144e-39	4.57971852324601e-36
ENSG00000106236	NPTX2	-2.64370568620325	8.57777722174484e-46	7.75020819326433e-43	-2.55186767725257	3.64014385508838e-39	5.04305529683945e-36
ENSG00000169436	COL22A1	3.50249669078103	1.31038248464618e-45	1.08924233653729e-42	3.37841349257402	5.83553455960635e-39	7.57926523019873e-36
ENSG00000163812	ZDHHC3	-0.395596873438349	6.38716471839304e-34	1.47479633347695e-31	-0.461171940829534	1.21836158516234e-38	1.48933953536815e-35
ENSG00000100095	SEZ6L	3.99519447083871	5.09965564156521e-66	3.53253146291222e-62	2.94423928088412	1.29450832031408e-38	1.4945098558026e-35
ENSG00000197299	BLM	-2.02412250882076	1.28371459558934e-45	1.08924233653729e-42	-1.93686296090824	1.70088336820238e-38	1.86031880392704e-35
ENSG00000169385	RNASE2	-3.19638663343206	1.53199350724099e-43	9.64738093150756e-41	-3.14065417152977	3.31832144326566e-38	3.44790189562518e-35
ENSG00000125869	LAMP5	2.49335062108034	2.90969511946105e-37	9.91252037336396e-35	2.70851840138087	4.64871661620453e-38	4.60023714292126e-35
ENSG00000138356	AOX1	-2.4724457219339	4.21219943684474e-38	1.59152211812855e-35	-2.64458374452019	5.27232689109135e-38	4.98019205108042e-35
ENSG00000123243	ITIH5	1.50083700490599	1.35318441605001e-47	1.48002764999659e-44	1.37968895460577	7.65428850245575e-38	6.91581605954491e-35
ENSG00000145861	C1QTNF2	1.66645409122863	5.02623681422994e-38	1.86518262922343e-35	1.77075567432524	1.51415932788366e-37	1.31107270803127e-34
ENSG00000182667	NTM	1.67648697232563	1.20557913136233e-37	4.31950688428286e-35	1.79091359282529	1.7841405700196e-37	1.48304900742309e-34
ENSG00000260186	LINC02137	-2.26990315034422	9.02053539431622e-34	2.0156531831106e-31	-2.59952309826742	1.93351704642858e-37	1.54540068237816e-34
ENSG00000113916	BCL6	-0.966956551088375	2.26707636563389e-37	7.85201899237298e-35	-1.03452811568047	2.73907986247818e-37	2.10817846748738e-34
ENSG00000179954	SSC5D	2.0859321557968	8.56936296596741e-46	7.75020819326433e-43	1.94784708938594	3.13374345053333e-37	2.32579723734047e-34
ENSG00000197616	MYH6	-3.06510360389952	6.58003288566928e-55	1.51932959330104e-51	-2.5207664220142	3.6030028460617e-37	2.58186214289683e-34
ENSG00000155659	VSIG4	-2.05123382376707	6.63759349704932e-48	8.06342632832051e-45	-1.84212792957819	9.27879313066893e-37	6.35629050950408e-34
ENSG00000196632	WNK3	-1.8798735506935	4.20130669649112e-36	1.32283870393609e-33	-2.0374370845638	9.48197900941371e-37	6.35629050950408e-34
ENSG00000007062	PROM1	1.2994057735228	1.08639753261907e-22	6.1516150205332e-21	1.88181374520585	1.17441483933032e-36	7.62672336753856e-34
ENSG00000175356	SCUBE2	2.33464344667632	6.22933050640332e-53	1.29451717253567e-49	1.9487652519412	1.52776962851077e-36	9.62078201517646e-34
ENSG00000095587	TLL2	1.66154369007292	1.27867674415552e-40	6.48101985860877e-38	1.6574498834006	2.02151089173518e-36	1.23555934826908e-33
ENSG00000142748	FCN3	-2.46034563832914	2.41401924722303e-40	1.14013031764868e-37	-2.4451183170026	5.84187799998154e-36	3.46857333478904e-33
ENSG00000133687	TMTC1	-1.2232020297273	7.72848193825769e-31	1.18092340558039e-28	-1.43953893475203	1.01850901790231e-35	5.87934330584111e-33
ENSG00000182197	EXT1	0.865684330548477	1.48033597040749e-44	1.09867363575136e-41	0.795040023823367	2.90581596071832e-35	1.53349696093659e-32
